ensg hgnc
ENSG00000213585 VDAC1
ENSG00000271737 CTB-113I20.2
ENSG00000081059 TCF7
ENSG00000113558 SKP1
ENSG00000113575 PPP2CA
ENSG00000006837 CDKL3
ENSG00000270177 CTD-2410N18.3
ENSG00000119048 UBE2B
ENSG00000248559 RP11-215P8.3
ENSG00000237190 CDKN2AIPNL
ENSG00000043143 JADE2
ENSG00000152700 SAR1B
ENSG00000113615 SEC24A
ENSG00000164615 CAMLG
ENSG00000145833 DDX46
ENSG00000181904 C5orf24
ENSG00000113621 TXNDC15
ENSG00000132570 PCBD2
ENSG00000152705 CATSPER3
ENSG00000224186 C5orf66
ENSG00000113648 H2AFY
ENSG00000270021 CTC-203F4.2
ENSG00000255833 TIFAB
ENSG00000249639 CTB-138E5.1
ENSG00000120708 TGFBI
ENSG00000164621 SMAD5-AS1
ENSG00000113658 SMAD5
ENSG00000146021 KLHL3
ENSG00000177733 HNRNPA0
ENSG00000250159 RP11-381K20.2
ENSG00000078795 PKD2L2
ENSG00000031003 FAM13B
ENSG00000112983 BRD8
ENSG00000094880 CDC23
ENSG00000120709 FAM53C
ENSG00000249971 RP11-256P1.1
ENSG00000120733 KDM3B
ENSG00000120738 EGR1
ENSG00000120705 ETF1
ENSG00000113013 HSPA9
ENSG00000044115 CTNNA1
ENSG00000120725 SIL1
ENSG00000015479 MATR3
ENSG00000120727 PAIP2
ENSG00000272742 CTB-43P18.1
ENSG00000170476 MZB1
ENSG00000170469 SPATA24
ENSG00000170464 DNAJC18
ENSG00000249751 ECSCR
ENSG00000184584 TMEM173
ENSG00000131508 UBE2D2
ENSG00000171604 CXXC5
ENSG00000250635 CTD-3224K15.2
ENSG00000158458 NRG2
ENSG00000245146 LINC01024
ENSG00000185129 PURA
ENSG00000182700 IGIP
ENSG00000120306 CYSTM1
ENSG00000113068 PFDN1
ENSG00000113070 HBEGF
ENSG00000249637 CTC-329D1.2
ENSG00000131503 ANKHD1
ENSG00000254996 ANKHD1-EIF4EBP3
ENSG00000213523 SRA1
ENSG00000113108 APBB3
ENSG00000176087 SLC35A4
ENSG00000170458 CD14
ENSG00000131495 NDUFA2
ENSG00000113119 TMCO6
ENSG00000113141 IK
ENSG00000120314 WDR55
ENSG00000170445 HARS
ENSG00000112855 HARS2
ENSG00000146007 ZMAT2
ENSG00000178913 TAF7
ENSG00000272070 AC005618.6
ENSG00000253305 PCDHGB6
ENSG00000131504 DIAPH1
ENSG00000171720 HDAC3
ENSG00000164620 RELL2
ENSG00000197948 FCHSD1
ENSG00000120318 ARAP3
ENSG00000081791 KIAA0141
ENSG00000013561 RNF14
ENSG00000113552 GNPDA1
ENSG00000131507 NDFIP1
ENSG00000145819 ARHGAP26
ENSG00000113580 NR3C1
ENSG00000145817 YIPF5
ENSG00000186314 PRELID2
ENSG00000156463 SH3RF2
ENSG00000173261 PLAC8L1
ENSG00000133706 LARS
ENSG00000091009 RBM27
ENSG00000113649 TCERG1
ENSG00000156475 PPP2R2B
ENSG00000176049 JAKMIP2
ENSG00000164265 SCGB3A2
ENSG00000145868 FBXO38
ENSG00000169252 ADRB2
ENSG00000164284 GRPEL2
ENSG00000253618 GRPEL2-AS1
ENSG00000145882 PCYOX1L
ENSG00000253865 RP11-394O4.3
ENSG00000249669 MIR143HG
ENSG00000113712 CSNK1A1
ENSG00000183111 ARHGEF37
ENSG00000155846 PPARGC1B
ENSG00000155850 SLC26A2
ENSG00000164296 TIGD6
ENSG00000113716 HMGXB3
ENSG00000182578 CSF1R
ENSG00000113721 PDGFRB
ENSG00000011083 SLC6A7
ENSG00000070814 TCOF1
ENSG00000019582 CD74
ENSG00000164587 RPS14
ENSG00000070614 NDST1
ENSG00000171992 SYNPO
ENSG00000086589 RBM22
ENSG00000132912 DCTN4
ENSG00000269636 AC010441.1
ENSG00000237693 IRGM
ENSG00000145908 ZNF300
ENSG00000211445 GPX3
ENSG00000145901 TNIP1
ENSG00000197043 ANXA6
ENSG00000198624 CCDC69
ENSG00000196743 GM2A
ENSG00000123643 SLC36A1
ENSG00000113140 SPARC
ENSG00000272112 CTB-113P19.5
ENSG00000177556 ATOX1
ENSG00000145907 G3BP1
ENSG00000055147 FAM114A2
ENSG00000037749 MFAP3
ENSG00000164574 GALNT10
ENSG00000164576 SAP30L
ENSG00000155506 LARP1
ENSG00000155508 CNOT8
ENSG00000082516 GEMIN5
ENSG00000082515 MRPL22
ENSG00000145850 TIMD4
ENSG00000113249 HAVCR1
ENSG00000135077 HAVCR2
ENSG00000155868 MED7
ENSG00000113263 ITK
ENSG00000253653 CTC-248O19.1
ENSG00000055163 CYFIP2
ENSG00000135074 ADAM19
ENSG00000172548 NIPAL4
ENSG00000113272 THG1L
ENSG00000155858 LSM11
ENSG00000113282 CLINT1
ENSG00000164330 EBF1
ENSG00000245812 RP11-175K6.1
ENSG00000145860 RNF145
ENSG00000164332 UBLCP1
ENSG00000113312 TTC1
ENSG00000170234 PWWP2A
ENSG00000164609 SLU7
ENSG00000164611 PTTG1
ENSG00000253522 MIR146A
ENSG00000145864 GABRB2
ENSG00000113328 CCNG1
ENSG00000170584 NUDCD2
ENSG00000072571 HMMR
ENSG00000038274 MAT2B
ENSG00000113643 RARS
ENSG00000120137 PANK3
ENSG00000040275 SPDL1
ENSG00000134516 DOCK2
ENSG00000043462 LCP2
ENSG00000235172 CTB-114C7.3
ENSG00000145936 KCNMB1
ENSG00000181163 NPM1
ENSG00000072803 FBXW11
ENSG00000072786 STK10
ENSG00000168246 UBTD2
ENSG00000214357 NEURL1B
ENSG00000120129 DUSP1
ENSG00000253628 RP11-536N17.1
ENSG00000113719 ERGIC1
ENSG00000204758 CTC-308K20.1
ENSG00000037241 RPL26L1
ENSG00000113732 ATP6V0E1
ENSG00000164463 CREBRF
ENSG00000253172 CTC-209H22.3
ENSG00000113734 BNIP1
ENSG00000145919 BOD1
ENSG00000113742 CPEB4
ENSG00000164466 SFXN1
ENSG00000113749 HRH2
ENSG00000051596 THOC3
ENSG00000182230 FAM153B
ENSG00000170085 SIMC1
ENSG00000122203 KIAA1191
ENSG00000175414 ARL10
ENSG00000048162 NOP16
ENSG00000146066 HIGD2A
ENSG00000175416 CLTB
ENSG00000113194 FAF2
ENSG00000146083 RNF44
ENSG00000048140 TSPAN17
ENSG00000160883 HK3
ENSG00000087206 UIMC1
ENSG00000113761 ZNF346
ENSG00000165671 NSD1
ENSG00000169228 RAB24
ENSG00000213347 MXD3
ENSG00000169230 PRELID1
ENSG00000169223 LMAN2
ENSG00000169220 RGS14
ENSG00000131187 F12
ENSG00000198055 GRK6
ENSG00000246334 PRR7-AS1
ENSG00000131188 PRR7
ENSG00000113758 DBN1
ENSG00000196923 PDLIM7
ENSG00000146094 DOK3
ENSG00000183258 DDX41
ENSG00000146067 FAM193B
ENSG00000272459 RP11-1277A3.3
ENSG00000184840 TMED9
ENSG00000027847 B4GALT7
ENSG00000247679 RP11-1277A3.1
ENSG00000170074 FAM153A
ENSG00000249684 RP11-423H2.3
ENSG00000145911 N4BP3
ENSG00000145916 RMND5B
ENSG00000145912 NHP2
ENSG00000197451 HNRNPAB
ENSG00000175309 PHYKPL
ENSG00000113240 CLK4
ENSG00000169131 ZNF354A
ENSG00000178338 ZNF354B
ENSG00000198939 ZFP2
ENSG00000234284 ZNF879
ENSG00000177932 ZNF354C
ENSG00000176783 RUFY1
ENSG00000169045 HNRNPH1
ENSG00000250999 RP11-1379J22.5
ENSG00000127022 CANX
ENSG00000161021 MAML1
ENSG00000213316 LTC4S
ENSG00000161013 MGAT4B
ENSG00000161011 SQSTM1
ENSG00000161010 C5orf45
ENSG00000245317 CTC-241N9.1
ENSG00000197226 TBC1D9B
ENSG00000113269 RNF130
ENSG00000050748 MAPK9
ENSG00000248367 CTB-129O4.1
ENSG00000113300 CNOT6
ENSG00000161055 SCGB3A1
ENSG00000131446 MGAT1
ENSG00000245060 LINC00847
ENSG00000196670 ZFP62
ENSG00000165810 BTNL9
ENSG00000250222 CTC-338M12.5
ENSG00000146054 TRIM7
ENSG00000250900 CTC-338M12.6
ENSG00000146063 TRIM41
ENSG00000204628 GNB2L1
ENSG00000233937 CTC-338M12.4
ENSG00000183718 TRIM52
ENSG00000268397 AC008443.1
ENSG00000248275 TRIM52-AS1
ENSG00000112679 DUSP22
ENSG00000137265 IRF4
ENSG00000112685 EXOC2
ENSG00000188996 HUS1B
ENSG00000272463 RP11-532F6.3
ENSG00000271727 RP11-532F6.4
ENSG00000271911 RP11-532F6.5
ENSG00000272279 RP11-157J24.2
ENSG00000054598 FOXC1
ENSG00000112699 GMDS
ENSG00000250903 GMDS-AS1
ENSG00000145949 MYLK4
ENSG00000124535 WRNIP1
ENSG00000021355 SERPINB1
ENSG00000230438 RP11-420G6.4
ENSG00000170542 SERPINB9
ENSG00000124570 SERPINB6
ENSG00000244041 LINC01011
ENSG00000124588 NQO2
ENSG00000270346 RP1-90J20.12
ENSG00000137275 RIPK1
ENSG00000272277 RP1-40E16.12
ENSG00000137274 BPHL
ENSG00000137267 TUBB2A
ENSG00000180822 PSMG4
ENSG00000137266 SLC22A23
ENSG00000168994 PXDC1
ENSG00000145945 FAM50B
ENSG00000272248 RP3-406P24.4
ENSG00000112739 PRPF4B
ENSG00000198721 ECI2
ENSG00000234817 RP3-400B16.1
ENSG00000153046 CDYL
ENSG00000124787 RPP40
ENSG00000272142 RP11-428J1.5
ENSG00000219607 PPP1R3G
ENSG00000214113 LYRM4
ENSG00000145982 FARS2
ENSG00000124785 NRN1
ENSG00000124491 F13A1
ENSG00000112799 LY86
ENSG00000124782 RREB1
ENSG00000124783 SSR1
ENSG00000164304 CAGE1
ENSG00000124784 RIOK1
ENSG00000261189 RP3-512B11.3
ENSG00000096696 DSP
ENSG00000168566 SNRNP48
ENSG00000239264 TXNDC5
ENSG00000188428 BLOC1S5
ENSG00000124802 EEF1E1
ENSG00000124786 SLC35B3
ENSG00000111846 GCNT2
ENSG00000137434 C6orf52
ENSG00000111845 PAK1IP1
ENSG00000111843 TMEM14C
ENSG00000272097 RP11-421M1.8
ENSG00000137210 TMEM14B
ENSG00000111837 MAK
ENSG00000224531 SMIM13
ENSG00000111859 NEDD9
ENSG00000205269 TMEM170B
ENSG00000111863 ADTRP
ENSG00000229896 RP11-456H18.2
ENSG00000095951 HIVEP1
ENSG00000112137 PHACTR1
ENSG00000215022 RP1-257A7.4
ENSG00000145979 TBC1D7
ENSG00000272379 RP1-257A7.5
ENSG00000145990 GFOD1
ENSG00000124523 SIRT5
ENSG00000261071 RP1-223E5.4
ENSG00000225921 NOL7
ENSG00000268059 AL441883.1
ENSG00000010017 RANBP9
ENSG00000050393 MCUR1
ENSG00000112149 CD83
ENSG00000271888 RP11-560J1.2
ENSG00000008083 JARID2
ENSG00000235488 JARID2-AS1
ENSG00000047579 DTNBP1
ENSG00000007944 MYLIP
ENSG00000137198 GMPR
ENSG00000124788 ATXN1
ENSG00000229931 RP1-151F17.1
ENSG00000272341 RP1-151F17.2
ENSG00000137414 FAM8A1
ENSG00000124789 NUP153
ENSG00000272269 RP11-500C11.3
ENSG00000137177 KIF13A
ENSG00000187566 NHLRC1
ENSG00000137364 TPMT
ENSG00000165097 KDM1B
ENSG00000124795 DEK
ENSG00000137393 RNF144B
ENSG00000172197 MBOAT1
ENSG00000227803 RP11-239H6.2
ENSG00000112242 E2F3
ENSG00000145996 CDKAL1
ENSG00000124766 SOX4
ENSG00000172179 PRL
ENSG00000124532 MRS2
ENSG00000112293 GPLD1
ENSG00000112294 ALDH5A1
ENSG00000111802 TDP2
ENSG00000112304 ACOT13
ENSG00000272345 RP1-30M3.5
ENSG00000112308 C6orf62
ENSG00000272402 RP1-30M3.6
ENSG00000112312 GMNN
ENSG00000260286 C6orf229
ENSG00000111913 FAM65B
ENSG00000272053 RP11-367G6.3
ENSG00000235733 RP3-522P13.3
ENSG00000079691 LRRC16A
ENSG00000112343 TRIM38
ENSG00000272462 U91328.19
ENSG00000124610 HIST1H1A
ENSG00000198366 HIST1H3A
ENSG00000196176 HIST1H4A
ENSG00000124529 HIST1H4B
ENSG00000137259 HIST1H2AB
ENSG00000196226 HIST1H2BB
ENSG00000196532 HIST1H3C
ENSG00000187837 HIST1H1C
ENSG00000010704 HFE
ENSG00000197061 HIST1H4C
ENSG00000180596 HIST1H2BC
ENSG00000180573 HIST1H2AC
ENSG00000168298 HIST1H1E
ENSG00000158373 HIST1H2BD
ENSG00000188987 HIST1H4D
ENSG00000197409 HIST1H3D
ENSG00000196866 HIST1H2AD
ENSG00000197846 HIST1H2BF
ENSG00000198518 HIST1H4E
ENSG00000187990 HIST1H2BG
ENSG00000168274 HIST1H2AE
ENSG00000124575 HIST1H1D
ENSG00000198327 HIST1H4F
ENSG00000197459 HIST1H2BH
ENSG00000168242 HIST1H2BI
ENSG00000158406 HIST1H4H
ENSG00000186470 BTN3A2
ENSG00000124508 BTN2A2
ENSG00000026950 BTN3A1
ENSG00000111801 BTN3A3
ENSG00000112763 BTN2A1
ENSG00000228223 HCG11
ENSG00000261353 CTA-14H9.5
ENSG00000182952 HMGN4
ENSG00000146109 ABT1
ENSG00000181315 ZNF322
ENSG00000261584 RP11-457M11.5
ENSG00000124635 HIST1H2BJ
ENSG00000196787 HIST1H2AG
ENSG00000197903 HIST1H2BK
ENSG00000198339 HIST1H4I
ENSG00000184825 HIST1H2AH
ENSG00000112812 PRSS16
ENSG00000124613 ZNF391
ENSG00000096654 ZNF184
ENSG00000185130 HIST1H2BL
ENSG00000196747 HIST1H2AI
ENSG00000203813 HIST1H3H
ENSG00000182611 HIST1H2AJ
ENSG00000196374 HIST1H2BM
ENSG00000197238 HIST1H4J
ENSG00000197914 HIST1H4K
ENSG00000184348 HIST1H2AK
ENSG00000233822 HIST1H2BN
ENSG00000198374 HIST1H2AL
ENSG00000184357 HIST1H1B
ENSG00000182572 HIST1H3I
ENSG00000233224 HIST1H2AM
ENSG00000196331 HIST1H2BO
ENSG00000272009 RP1-313I6.12
ENSG00000197279 ZNF165
ENSG00000269293 ZSCAN16-AS1
ENSG00000196812 ZSCAN16
ENSG00000198315 ZKSCAN8
ENSG00000137185 ZSCAN9
ENSG00000187626 ZKSCAN4
ENSG00000189134 NKAPL
ENSG00000137338 PGBD1
ENSG00000235109 ZSCAN31
ENSG00000189298 ZKSCAN3
ENSG00000158691 ZSCAN12
ENSG00000224157 HCG14
ENSG00000204713 TRIM27
ENSG00000204681 GABBR1
ENSG00000204642 HLA-F
ENSG00000272236 XXbac-BPG170G13.32
ENSG00000204632 HLA-G
ENSG00000206503 HLA-A
ENSG00000204623 ZNRD1-AS1
ENSG00000066379 ZNRD1
ENSG00000204619 PPP1R11
ENSG00000204616 TRIM31
ENSG00000234127 TRIM26
ENSG00000231074 HCG18
ENSG00000204599 TRIM39
ENSG00000241370 RPP21
ENSG00000204592 HLA-E
ENSG00000235781 XXbac-BPG249D20.9
ENSG00000204590 GNL1
ENSG00000204576 PRR3
ENSG00000204574 ABCF1
ENSG00000204569 PPP1R10
ENSG00000204568 MRPS18B
ENSG00000137343 ATAT1
ENSG00000204564 C6orf136
ENSG00000204560 DHX16
ENSG00000146112 PPP1R18
ENSG00000137404 NRM
ENSG00000137337 MDC1
ENSG00000196230 TUBB
ENSG00000272540 XXbac-BPG252P9.9
ENSG00000137312 FLOT1
ENSG00000272273 XXbac-BPG252P9.10
ENSG00000137331 IER3
ENSG00000204580 DDR1
ENSG00000213780 GTF2H4
ENSG00000137411 VARS2
ENSG00000204540 PSORS1C1
ENSG00000204536 CCHCR1
ENSG00000137310 TCF19
ENSG00000272501 XXbac-BPG299F13.17
ENSG00000206344 HCG27
ENSG00000204525 HLA-C
ENSG00000234745 HLA-B
ENSG00000272221 XXbac-BPG181B23.7
ENSG00000204520 MICA
ENSG00000204516 MICB
ENSG00000198563 DDX39B
ENSG00000234006 DDX39B-AS1
ENSG00000213760 ATP6V1G2
ENSG00000204498 NFKBIL1
ENSG00000226979 LTA
ENSG00000232810 TNF
ENSG00000227507 LTB
ENSG00000204482 LST1
ENSG00000204475 NCR3
ENSG00000204472 AIF1
ENSG00000204469 PRRC2A
ENSG00000204463 BAG6
ENSG00000204444 APOM
ENSG00000204439 C6orf47
ENSG00000227198 C6orf47-AS1
ENSG00000204438 GPANK1
ENSG00000204435 CSNK2B
ENSG00000204428 LY6G5C
ENSG00000204427 ABHD16A
ENSG00000204420 C6orf25
ENSG00000213722 DDAH2
ENSG00000213719 CLIC1
ENSG00000204410 MSH5
ENSG00000204394 VARS
ENSG00000204392 LSM2
ENSG00000204390 HSPA1L
ENSG00000204389 HSPA1A
ENSG00000204388 HSPA1B
ENSG00000204387 C6orf48
ENSG00000204386 NEU1
ENSG00000204385 SLC44A4
ENSG00000204371 EHMT2
ENSG00000166278 C2
ENSG00000204366 ZBTB12
ENSG00000204356 NELFE
ENSG00000204351 SKIV2L
ENSG00000204348 DXO
ENSG00000204344 STK19
ENSG00000168477 TNXB
ENSG00000213676 ATF6B
ENSG00000204315 FKBPL
ENSG00000204314 PRRT1
ENSG00000221988 PPT2
ENSG00000258388 PPT2-EGFL8
ENSG00000241404 EGFL8
ENSG00000204310 AGPAT1
ENSG00000204308 RNF5
ENSG00000204305 AGER
ENSG00000204304 PBX2
ENSG00000213654 GPSM3
ENSG00000204301 NOTCH4
ENSG00000228962 HCG23
ENSG00000204287 HLA-DRA
ENSG00000198502 HLA-DRB5
ENSG00000196126 HLA-DRB1
ENSG00000196735 HLA-DQA1
ENSG00000179344 HLA-DQB1
ENSG00000223534 HLA-DQB1-AS1
ENSG00000237541 HLA-DQA2
ENSG00000232629 HLA-DQB2
ENSG00000241106 HLA-DOB
ENSG00000204267 TAP2
ENSG00000204264 PSMB8
ENSG00000204261 TAPSAR1
ENSG00000240065 PSMB9
ENSG00000168394 TAP1
ENSG00000242574 HLA-DMB
ENSG00000204257 HLA-DMA
ENSG00000204256 BRD2
ENSG00000263756 XXbac-BPG181M17.6
ENSG00000204252 HLA-DOA
ENSG00000231389 HLA-DPA1
ENSG00000223865 HLA-DPB1
ENSG00000204231 RXRB
ENSG00000112473 SLC39A7
ENSG00000204228 HSD17B8
ENSG00000204227 RING1
ENSG00000232940 HCG25
ENSG00000223501 VPS52
ENSG00000231500 RPS18
ENSG00000235863 B3GALT4
ENSG00000227057 WDR46
ENSG00000204220 PFDN6
ENSG00000237441 RGL2
ENSG00000231925 TAPBP
ENSG00000236104 ZBTB22
ENSG00000204209 DAXX
ENSG00000237649 KIFC1
ENSG00000112511 PHF1
ENSG00000112514 CUTA
ENSG00000197283 SYNGAP1
ENSG00000213588 ZBTB9
ENSG00000030110 BAK1
ENSG00000197251 LINC00336
ENSG00000096433 ITPR3
ENSG00000137288 UQCC2
ENSG00000161904 LEMD2
ENSG00000137309 HMGA1
ENSG00000186577 C6orf1
ENSG00000225339 RP11-513I15.6
ENSG00000272325 NUDT3
ENSG00000270800 RPS10-NUDT3
ENSG00000124614 RPS10
ENSG00000124507 PACSIN1
ENSG00000196821 C6orf106
ENSG00000272288 RP11-140K17.3
ENSG00000124562 SNRPC
ENSG00000065060 UHRF1BP1
ENSG00000064995 TAF11
ENSG00000064999 ANKS1A
ENSG00000146197 SCUBE3
ENSG00000065029 ZNF76
ENSG00000023892 DEF6
ENSG00000112033 PPARD
ENSG00000112039 FANCE
ENSG00000198755 RPL10A
ENSG00000096060 FKBP5
ENSG00000157343 ARMC12
ENSG00000096063 SRPK1
ENSG00000112053 SLC26A8
ENSG00000112062 MAPK14
ENSG00000156711 MAPK13
ENSG00000246982 RP1-179N16.6
ENSG00000096070 BRPF3
ENSG00000010030 ETV7
ENSG00000112078 KCTD20
ENSG00000112079 STK38
ENSG00000112081 SRSF3
ENSG00000124762 CDKN1A
ENSG00000255587 RAB44
ENSG00000124772 CPNE5
ENSG00000137168 PPIL1
ENSG00000198663 C6orf89
ENSG00000164530 PI16
ENSG00000137409 MTCH1
ENSG00000146192 FGD2
ENSG00000226976 COX6A1P2
ENSG00000137193 PIM1
ENSG00000172738 TMEM217
ENSG00000065491 TBC1D22B
ENSG00000112130 RNF8
ENSG00000137200 CMTR1
ENSG00000198937 CCDC167
ENSG00000112139 MDGA1
ENSG00000156639 ZFAND3
ENSG00000183826 BTBD9
ENSG00000124767 GLO1
ENSG00000124721 DNAH8
ENSG00000112167 SAYSD1
ENSG00000164626 KCNK5
ENSG00000124615 MOCS1
ENSG00000156564 LRFN2
ENSG00000124602 UNC5CL
ENSG00000124596 OARD1
ENSG00000001167 NFYA
ENSG00000112195 TREML2
ENSG00000124731 TREM1
ENSG00000234753 RP11-328M4.2
ENSG00000137166 FOXP4
ENSG00000112561 TFEB
ENSG00000137218 FRS3
ENSG00000124593 PRICKLE4
ENSG00000164663 USP49
ENSG00000124641 MED20
ENSG00000112578 BYSL
ENSG00000112576 CCND3
ENSG00000137413 TAF8
ENSG00000112599 GUCA1B
ENSG00000048544 MRPS10
ENSG00000124496 TRERF1
ENSG00000024048 UBR2
ENSG00000124659 TBCC
ENSG00000112624 GLTSCR1L
ENSG00000146223 RPL7L1
ENSG00000221821 C6orf226
ENSG00000171611 PTCRA
ENSG00000137161 CNPY3
ENSG00000231113 RP3-475N16.1
ENSG00000124713 GNMT
ENSG00000124587 PEX6
ENSG00000112640 PPP2R5D
ENSG00000124733 MEA1
ENSG00000124702 KLHDC3
ENSG00000124541 RRP36
ENSG00000272223 RP1-20C7.6
ENSG00000044090 CUL7
ENSG00000137171 KLC4
ENSG00000112651 MRPL2
ENSG00000112655 PTK7
ENSG00000112658 SRF
ENSG00000112659 CUL9
ENSG00000245261 RP3-330M21.5
ENSG00000112667 DNPH1
ENSG00000146216 TTBK1
ENSG00000146215 CRIP3
ENSG00000171467 ZNF318
ENSG00000124574 ABCC10
ENSG00000171462 DLK2
ENSG00000137221 TJAP1
ENSG00000171453 POLR1C
ENSG00000137207 YIPF3
ENSG00000124571 XPO5
ENSG00000170734 POLH
ENSG00000172432 GTPBP2
ENSG00000124688 MAD2L1BP
ENSG00000172426 RSPH9
ENSG00000096080 MRPS18A
ENSG00000112715 VEGFA
ENSG00000272114 RP1-261G23.7
ENSG00000180992 MRPL14
ENSG00000137216 TMEM63B
ENSG00000112759 SLC29A1
ENSG00000096384 HSP90AB1
ENSG00000157593 SLC35B2
ENSG00000146232 NFKBIE
ENSG00000124608 AARS2
ENSG00000096401 CDC5L
ENSG00000196284 SUPT3H
ENSG00000124813 RUNX2
ENSG00000271857 RP1-244F24.1
ENSG00000112782 CLIC5
ENSG00000231769 RP1-8B1.4
ENSG00000001561 ENPP4
ENSG00000146070 PLA2G7
ENSG00000146072 TNFRSF21
ENSG00000270761 RP11-385F7.1
ENSG00000198087 CD2AP
ENSG00000146085 MUT
ENSG00000031691 CENPQ
ENSG00000112118 MCM3
ENSG00000170915 PAQR8
ENSG00000096093 EFHC1
ENSG00000065308 TRAM2
ENSG00000225791 TRAM2-AS1
ENSG00000096092 TMEM14A
ENSG00000170899 GSTA4
ENSG00000112144 ICK
ENSG00000112146 FBXO9
ENSG00000012660 ELOVL5
ENSG00000271367 RP3-483K16.4
ENSG00000001084 GCLC
ENSG00000137269 LRRC1
ENSG00000151914 DST
ENSG00000168116 KIAA1586
ENSG00000112200 ZNF451
ENSG00000226803 RP11-203B9.4
ENSG00000112208 BAG2
ENSG00000112210 RAB23
ENSG00000146143 PRIM2
ENSG00000272316 XXbac-BPGBPG55C20.2
ENSG00000112232 KHDRBS2
ENSG00000198225 FKBP1C
ENSG00000112245 PTP4A1
ENSG00000266680 RP5-1148A21.3
ENSG00000118482 PHF3
ENSG00000230910 RP3-525N10.2
ENSG00000168216 LMBRD1
ENSG00000082293 COL19A1
ENSG00000082269 FAM135A
ENSG00000154079 C6orf57
ENSG00000112305 SMAP1
ENSG00000112309 B3GAT2
ENSG00000119900 OGFRL1
ENSG00000185760 KCNQ5
ENSG00000135314 KHDC1
ENSG00000229852 RP11-398K22.12
ENSG00000203907 OOEP
ENSG00000080007 DDX43
ENSG00000164430 MB21D1
ENSG00000135297 MTO1
ENSG00000223821 RP11-505P4.6
ENSG00000156508 EEF1A1
ENSG00000119899 SLC17A5
ENSG00000231652 RP11-553A21.3
ENSG00000112695 COX7A2
ENSG00000112697 TMEM30A
ENSG00000225793 RP1-234P15.4
ENSG00000112701 SENP6
ENSG00000146243 IRAK1BP1
ENSG00000146247 PHIP
ENSG00000118418 HMGN3
ENSG00000270362 HMGN3-AS1
ENSG00000135338 LCA5
ENSG00000198478 SH3BGRL2
ENSG00000118402 ELOVL4
ENSG00000112742 TTK
ENSG00000083123 BCKDHB
ENSG00000272129 RP11-250B2.6
ENSG00000112773 FAM46A
ENSG00000005700 IBTK
ENSG00000146242 TPBG
ENSG00000118420 UBE3D
ENSG00000083097 DOPEY1
ENSG00000013375 PGM3
ENSG00000013392 RWDD2A
ENSG00000065615 CYB5R4
ENSG00000135315 KIAA1009
ENSG00000135318 NT5E
ENSG00000135317 SNX14
ENSG00000271793 RP11-321N4.5
ENSG00000135316 SYNCRIP
ENSG00000236016 RP1-3J17.3
ENSG00000272008 RP11-393I2.4
ENSG00000188994 ZNF292
ENSG00000111850 SMIM8
ENSG00000226524 RP1-102H19.8
ENSG00000203872 C6orf163
ENSG00000213204 C6orf165
ENSG00000164414 SLC35A1
ENSG00000146282 RARS2
ENSG00000135336 ORC3
ENSG00000135334 AKIRIN2
ENSG00000111880 RNGTT
ENSG00000271931 RP11-63L7.5
ENSG00000146278 PNRC1
ENSG00000146281 PM20D2
ENSG00000198833 UBE2J1
ENSG00000025039 RRAGD
ENSG00000135299 ANKRD6
ENSG00000083099 LYRM2
ENSG00000112159 MDN1
ENSG00000228124 RP1-122O8.7
ENSG00000112182 BACH2
ENSG00000260271 RP1-45N11.1
ENSG00000135341 MAP3K7
ENSG00000261366 MANEA-AS1
ENSG00000172469 MANEA
ENSG00000014123 UFL1
ENSG00000123545 NDUFAF4
ENSG00000186231 KLHL32
ENSG00000146263 MMS22L
ENSG00000112234 FBXL4
ENSG00000132423 COQ3
ENSG00000132424 PNISR
ENSG00000228506 RP11-98I9.4
ENSG00000123552 USP45
ENSG00000228439 TSTD3
ENSG00000112237 CCNC
ENSG00000272017 RP1-199J3.7
ENSG00000112238 PRDM13
ENSG00000112249 ASCC3
ENSG00000260000 RP3-467N11.1
ENSG00000085382 HACE1
ENSG00000085377 PREP
ENSG00000057657 PRDM1
ENSG00000057663 ATG5
ENSG00000112297 AIM1
ENSG00000130347 RTN4IP1
ENSG00000130348 QRSL1
ENSG00000229654 RP1-60O19.2
ENSG00000130349 C6orf203
ENSG00000178409 BEND3
ENSG00000164494 PDSS2
ENSG00000112320 SOBP
ENSG00000146285 SCML4
ENSG00000025796 SEC63
ENSG00000272476 RP1-191J18.66
ENSG00000271734 RP1-111B22.3
ENSG00000081087 OSTM1
ENSG00000112335 SNX3
ENSG00000135537 LACE1
ENSG00000118689 FOXO3
ENSG00000118690 ARMC2
ENSG00000080546 SESN1
ENSG00000271730 RP11-787I22.3
ENSG00000183137 CEP57L1
ENSG00000135535 CD164
ENSG00000260273 RP11-425D10.10
ENSG00000185250 PPIL6
ENSG00000135587 SMPD2
ENSG00000135596 MICAL1
ENSG00000112365 ZBTB24
ENSG00000155085 AK9
ENSG00000112367 FIG4
ENSG00000112290 WASF1
ENSG00000168438 CDC40
ENSG00000004809 SLC22A16
ENSG00000155111 CDK19
ENSG00000123505 AMD1
ENSG00000155115 GTF3C6
ENSG00000197498 RPF2
ENSG00000112394 SLC16A10
ENSG00000173214 KIAA1919
ENSG00000230177 RP5-1112D6.4
ENSG00000009413 REV3L
ENSG00000231889 TRAF3IP2-AS1
ENSG00000056972 TRAF3IP2
ENSG00000255389 C6orf3
